"id","job_title","company_name","job_location","city","region","country","email_id","email_date","total_jobs"
107,"Data Scientist, Campaigns","Bolt","Tallinn, Harjumaa, Estonia","Tallinn"," Harjumaa"," Estonia","181307857c2589a4","2022-06-04",NULL
108,"Senior Data Scientist - Accommodations","Booking.com","Amsterdam, North Holland, Netherlands","Amsterdam"," North Holland"," Netherlands","181307857c2589a4","2022-06-04",NULL
109,"Principal Scientist, Data Science RWE Advanced Analytics (JDR DS).","Johnson & Johnson","Antwerp, Flemish Region, Belgium","Antwerp"," Flemish Region"," Belgium","18135b1e59283a0a","2022-06-05",NULL
110,"Data Science Consultant with Ukrainian language","McKinsey & Company","Warsaw, Mazowieckie, Poland","Warsaw"," Mazowieckie"," Poland","1813c7ca3e07957a","2022-06-06",NULL
111,"Principal Scientist, Data Science RWE Advanced Analytics (JDR DS).","Johnson & Johnson","Antwerp, Flemish Region, Belgium","Antwerp"," Flemish Region"," Belgium","1813c7ca3e07957a","2022-06-06",NULL
112,"Senior Data Engineer - Economics & Experimentation","Zalando","Berlin, Berlin, Germany","Berlin"," Berlin"," Germany","1813c7ca3e07957a","2022-06-06",NULL
113,"Senior Data Scientist, Marketplace","Bolt","Warsaw, Mazowieckie, Poland","Warsaw"," Mazowieckie"," Poland","1813c7ca3e07957a","2022-06-06",NULL
114,"Senior Machine Learning Researcher (m/f/d)","Merantix Momentum","Berlin, Berlin, Germany","Berlin"," Berlin"," Germany","1813c7ca3e07957a","2022-06-06",NULL
115,"Senior Scientist, Data Science (JRD DS) (1 of 3 Openings).","Johnson & Johnson","Antwerp, Flemish Region, Belgium","Antwerp"," Flemish Region"," Belgium","1813c7ca3e07957a","2022-06-06",NULL
116,"Applied Science Working Student ( All Genders)","Zalando","Berlin, Berlin, Germany","Berlin"," Berlin"," Germany","1814080b7bc9ee42","2022-06-07",NULL
117,"Data Scientist - Insights (UFB)","Udemy","Dublin, County Dublin, Ireland","Dublin"," County Dublin"," Ireland","1814080b7bc9ee42","2022-06-07",NULL
118,"Director, Insights Data Science","Bain & Company","Copenhagen, Capital Region, Denmark","Copenhagen"," Capital Region"," Denmark","1814080b7bc9ee42","2022-06-07",NULL
119,"Principal Scientist, Data Science (JRD DS).","Johnson & Johnson","Antwerp, Flemish Region, Belgium","Antwerp"," Flemish Region"," Belgium","1814080b7bc9ee42","2022-06-07",NULL
